adm_cd2,adm_nm,signgu_cd,signgu_nm,area_km2,pop_total,pop_male,pop_female,pop_under20,pop_20s,pop_30s,pop_40s,pop_50s,pop_60plus,sex_ratio,ratio_2030,ratio_4050,ratio_60plus,total_stores,avg_dist_to_subway_m,ratio_stores_in_subway_zone,avg_dist_to_parking_m,avg_parking_capacity_300m,category_entropy,category_hhi,top_industry_lcls,top_industry_mcls,stores_과학·기술,stores_교육,stores_보건의료,stores_부동산,stores_소매,stores_수리·개인,stores_숙박,stores_시설관리·임대,stores_예술·스포츠,stores_음식,dong_station_count,dong_daily_ridership,dong_station_names,dong_parking_lot_count,dong_total_parking_capacity,pop_density,store_density_km2,stores_per_1000_pop,parking_capacity_per_store,parking_capacity_per_1000_pop
2711054500,대구광역시 중구 삼덕동,27110,중구,0.644,7460,3649,3811,923,1841,1456,1063,888,1289,95.75,0.442,0.2615,0.1728,1526,480.0,0.5839,48.8,1719.3,1.8185,0.2249,음식,한식,162,50,66,46,293,171,21,39,73,605,0,0.0,없음,70,3487,11583.9,2369.6,204.56,2.29,467.43
2711056500,대구광역시 중구 성내1동,27110,중구,0.759,5527,2644,2883,368,1684,1086,573,616,1200,91.71,0.5012,0.2151,0.2171,3406,324.3,0.8908,53.6,2242.4,1.7374,0.2404,소매,섬유·의복·신발 소매,242,156,115,53,1224,329,48,120,90,1029,1,30098.1,중앙로,64,4750,7281.9,4487.5,616.25,1.39,859.42
2711057500,대구광역시 중구 성내2동,27110,중구,0.9226,9263,4422,4841,1220,1857,1817,1290,1209,1870,91.34,0.3966,0.2698,0.2019,2628,283.2,0.933,47.6,2751.4,1.6254,0.2741,소매,섬유·의복·신발 소매,232,81,38,40,1082,160,67,108,35,785,0,0.0,없음,67,6799,10040.1,2848.5,283.71,2.59,734.0
2711058500,대구광역시 중구 성내3동,27110,중구,0.7455,13643,6781,6862,3212,1077,3445,2516,1352,2041,98.82,0.3315,0.2835,0.1496,444,332.9,0.9302,105.0,257.9,1.9273,0.1811,소매,한식,37,28,7,35,126,64,10,22,7,108,1,5778.9,달성공원,12,259,18300.5,595.6,32.54,0.58,18.98
2711059500,대구광역시 중구 대신동,27110,중구,0.4899,7249,3494,3755,1126,582,1126,1091,1111,2213,93.05,0.2356,0.3038,0.3053,2688,169.9,0.9699,35.9,1548.5,0.6257,0.7314,소매,섬유·의복·신발 소매,16,18,10,18,2285,83,7,7,8,236,1,13433.4,서문시장,11,1301,14796.9,5486.8,370.81,0.48,179.47
2711064000,대구광역시 중구 남산1동,27110,중구,0.4193,5062,2374,2688,657,808,793,709,749,1346,88.32,0.3163,0.288,0.2659,680,253.0,1.0,70.8,713.6,2.0125,0.1547,음식,이용·미용,118,60,9,21,142,99,29,45,14,143,2,12121.7,"명덕1, 명덕3",25,1968,12072.5,1621.8,134.33,2.89,388.78
2711065000,대구광역시 중구 남산2동,27110,중구,0.3916,7394,3462,3932,1327,783,1429,1155,1018,1682,88.05,0.2992,0.2939,0.2275,593,289.0,1.0,88.2,1474.2,1.9141,0.1882,과학·기술,인쇄·제품제작,195,41,25,35,92,51,9,26,6,113,4,82629.0,"반월당1, 반월당2, 청라언덕2, 청라언덕3",11,863,18881.5,1514.3,80.2,1.46,116.72
2711066000,대구광역시 중구 남산3동,27110,중구,0.4076,5779,2648,3131,763,451,652,852,949,2112,84.57,0.1909,0.3116,0.3655,313,254.0,0.9968,83.9,293.4,1.8445,0.1819,음식,인쇄·제품제작,70,21,0,14,57,61,3,9,6,72,1,5728.2,남산,10,404,14178.1,767.9,54.16,1.29,69.91
2711067000,대구광역시 중구 남산4동,27110,중구,0.449,15842,7379,8463,2660,1381,2418,2364,2490,4529,87.19,0.2398,0.3064,0.2859,403,351.8,0.8164,69.4,308.4,1.9455,0.1721,음식,이용·미용,31,37,7,34,81,68,2,13,17,113,0,0.0,없음,16,481,35282.9,897.6,25.44,1.19,30.36
2711068000,대구광역시 중구 대봉1동,27110,중구,0.5627,7666,3530,4136,1293,831,986,1117,1274,2165,85.35,0.237,0.3119,0.2824,1117,194.3,1.0,58.5,833.7,1.8237,0.1985,소매,섬유·의복·신발 소매,152,37,15,23,325,147,9,94,22,293,2,19088.4,"경대병원, 대봉교",23,1613,13623.6,1985.1,145.71,1.44,210.41
2711069000,대구광역시 중구 대봉2동,27110,중구,0.2744,5933,2815,3118,994,606,1067,849,1045,1372,90.28,0.282,0.3192,0.2312,300,300.2,1.0,103.3,220.2,1.8838,0.182,음식,한식,64,18,1,17,54,41,4,8,10,83,1,3410.6,건들바위,8,179,21621.7,1093.3,50.56,0.6,30.17
2711051700,대구광역시 중구 동인동,27110,중구,0.9707,10997,5449,5548,1271,1648,2340,1430,1604,2704,98.22,0.3626,0.2759,0.2459,1055,664.1,0.1223,76.0,902.8,1.8018,0.2033,음식,한식,200,29,5,21,197,117,18,104,16,348,0,0.0,없음,30,2997,11328.9,1086.8,95.94,2.84,272.53
2714051000,대구광역시 동구 신암1동,27140,동구,0.606,10781,5347,5434,1471,1059,1550,1436,1628,3637,98.4,0.242,0.2842,0.3374,526,1051.5,0.0,112.3,436.8,1.7965,0.2171,음식,한식,42,22,7,27,131,73,3,21,16,184,0,0.0,없음,10,394,17790.4,868.0,48.79,0.75,36.55
2714052000,대구광역시 동구 신암2동,27140,동구,0.3625,11446,5385,6061,1896,835,1697,1730,1809,3479,88.85,0.2212,0.3092,0.3039,340,610.1,0.3059,85.6,392.6,1.7582,0.2196,음식,한식,12,31,6,12,72,63,0,7,16,121,0,0.0,없음,13,357,31575.2,937.9,29.7,1.05,31.19
2714053000,대구광역시 동구 신암3동,27140,동구,0.6012,11150,5482,5668,1883,948,2229,1584,1542,2964,96.72,0.2849,0.2804,0.2658,396,734.3,0.0581,80.2,452.5,1.8895,0.1873,음식,한식,20,25,4,37,88,73,5,12,16,116,0,0.0,없음,13,616,18546.2,658.7,35.52,1.56,55.25
2714054000,대구광역시 동구 신암4동,27140,동구,1.1656,18383,9059,9324,2078,2229,3603,2165,2905,5403,97.16,0.3172,0.2758,0.2939,521,378.4,0.7179,108.3,569.0,1.8721,0.212,음식,한식,35,11,7,36,93,60,36,24,18,201,2,43556.8,"동구청, 동대구역",29,2706,15771.3,447.0,28.34,5.19,147.2
2714054100,대구광역시 동구 신암5동,27140,동구,0.5467,7315,3463,3852,786,627,992,891,1136,2883,89.9,0.2213,0.2771,0.3941,314,366.8,0.9108,114.5,165.0,1.672,0.243,음식,한식,21,12,3,7,97,44,1,17,4,108,0,0.0,없음,9,300,13380.3,574.4,42.93,0.96,41.01
2714055500,대구광역시 동구 신천1·2동,27140,동구,0.4677,10994,5084,5910,891,1006,1195,1229,1830,4843,86.02,0.2002,0.2782,0.4405,384,304.5,0.8438,105.0,149.9,1.8643,0.1907,음식,한식,42,25,7,13,94,63,1,14,14,111,1,9575.6,신천,10,301,23506.5,821.0,34.93,0.78,27.38
