adm_cd2,adm_nm,area_km2,dong_bus_stop_count,dong_daily_bus_boarding,dong_daily_bus_alighting,dong_daily_bus_total,dong_bus_stop_density,dong_bus_ridership_per_stop,avg_dist_to_bus_m,ratio_stores_in_bus_300m
2711054500,대구광역시 중구 삼덕동,0.644,6,3122.49,1287.82,4410.31,9.32,735.05,152.3,0.9705
2711056500,대구광역시 중구 성내1동,0.759,17,18904.92,4864.4,23769.31,22.4,1398.19,114.0,1.0
2711057500,대구광역시 중구 성내2동,0.9226,15,10127.57,5684.49,15812.06,16.26,1054.14,113.5,1.0
2711058500,대구광역시 중구 성내3동,0.7455,12,4676.41,1960.55,6636.95,16.1,553.08,120.1,1.0
2711059500,대구광역시 중구 대신동,0.4899,8,2392.74,896.79,3289.53,16.33,411.19,103.0,1.0
2711064000,대구광역시 중구 남산1동,0.4193,11,6331.47,3071.34,9402.81,26.23,854.8,99.0,1.0
2711065000,대구광역시 중구 남산2동,0.3916,10,3490.42,1181.96,4672.35,25.54,467.24,106.6,1.0
2711066000,대구광역시 중구 남산3동,0.4076,2,653.09,263.33,916.42,4.91,458.21,148.5,0.9361
2711067000,대구광역시 중구 남산4동,0.449,6,1820.33,594.25,2414.57,13.36,402.43,110.5,1.0
2711068000,대구광역시 중구 대봉1동,0.5627,10,1818.68,719.28,2537.96,17.77,253.8,95.7,1.0
2711069000,대구광역시 중구 대봉2동,0.2744,6,720.92,391.49,1112.39,21.87,185.4,86.9,1.0
2711051700,대구광역시 중구 동인동,0.9707,16,3851.33,2077.32,5928.67,16.48,370.54,137.2,1.0
2714051000,대구광역시 동구 신암1동,0.606,3,2344.23,986.52,3330.76,4.95,1110.25,130.4,0.9468
2714052000,대구광역시 동구 신암2동,0.3625,3,1784.57,701.21,2485.79,8.28,828.6,128.2,1.0
2714053000,대구광역시 동구 신암3동,0.6012,15,8915.81,3643.7,12559.51,24.95,837.3,99.3,1.0
2714054000,대구광역시 동구 신암4동,1.1656,19,5053.37,2734.44,7787.8,16.3,409.88,97.1,1.0
2714054100,대구광역시 동구 신암5동,0.5467,4,5655.18,2344.21,7999.39,7.32,1999.85,166.2,0.8535
2714055500,대구광역시 동구 신천1·2동,0.4677,7,1990.53,522.67,2513.2,14.97,359.03,113.9,0.9792
2714057000,대구광역시 동구 신천3동,0.7179,21,2945.44,1279.29,4224.72,29.25,201.18,89.5,1.0
2714058000,대구광역시 동구 신천4동,0.7957,10,6232.2,2493.62,8725.83,12.57,872.58,148.8,0.9267
2714059000,대구광역시 동구 효목1동,1.4646,19,5148.85,2076.41,7225.28,12.97,380.28,115.1,1.0
2714060000,대구광역시 동구 효목2동,0.761,13,3110.49,1489.77,4600.26,17.08,353.87,102.1,1.0
2714061500,대구광역시 동구 도평동,19.9271,18,129.58,20.64,150.22,0.9,8.35,171.7,0.9583
2714062000,대구광역시 동구 불로·봉무동,7.6608,26,4538.26,1699.18,6237.48,3.39,239.9,164.7,0.9642
2714064000,대구광역시 동구 지저동,2.2358,14,3762.08,2810.31,6572.38,6.26,469.46,109.5,0.9974
2714065500,대구광역시 동구 동촌동,4.4612,19,2536.13,904.5,3440.64,4.26,181.09,121.2,0.9477
2714067000,대구광역시 동구 방촌동,1.2248,10,2535.72,1009.61,3545.36,8.16,354.54,139.6,0.9595
2714068500,대구광역시 동구 해안동,13.264,28,2825.76,561.06,3386.79,2.11,120.96,117.1,0.9642
2714076000,대구광역시 동구 공산동,83.2696,162,4262.56,755.16,5017.74,1.95,30.97,159.1,0.9072
2714072000,대구광역시 동구 안심1동,3.4892,36,5332.35,2044.05,7376.41,10.32,204.9,171.6,0.8271
2714073000,대구광역시 동구 안심2동,13.3309,37,2737.12,1363.01,4100.18,2.78,110.82,138.6,0.8985
2714074700,대구광역시 동구 안심4동,2.572,25,3518.25,1961.5,5479.74,9.72,219.19,136.9,0.933
2717051000,대구광역시 서구 내당1동,0.5707,9,1816.48,877.78,2694.27,15.77,299.36,121.6,1.0
2717052500,대구광역시 서구 내당2·3동,0.4967,7,2752.67,822.12,3574.78,14.09,510.68,96.2,1.0
2717054000,대구광역시 서구 내당4동,0.8127,14,4867.14,1951.46,6818.59,17.23,487.04,145.8,0.931
2717055000,대구광역시 서구 비산1동,0.4334,1,648.92,161.08,810.01,2.31,810.01,137.5,0.9859
