역번호,역명,호선,lon,lat
1150,설화명곡,1,128.489341,35.798748
1160,화원,1,128.50085,35.80486
1170,대곡,1,128.51408,35.80875
1180,진천,1,128.522589,35.813826
1190,월배,1,128.530584,35.81628
1200,상인,1,128.537883,35.818968
1210,월촌,1,128.54467,35.8239
1220,송현,1,128.55243,35.8302
1230,서부정류장,1,128.565482,35.839303
1240,대명,1,128.575,35.8436
1250,안지랑,1,128.5779,35.8475
1260,현충로,1,128.583,35.8492
1270,영대병원,1,128.588254,35.844274
1280,교대,1,128.590615,35.851109
1290,명덕1,1,128.5894,35.8576
1300,반월당1,1,128.593345,35.864676
1310,중앙로,1,128.594,35.8714
1320,대구역,1,128.596053,35.875931
1330,칠성시장,1,128.60508,35.876074
1340,신천,1,128.617,35.8732
1350,동대구역,1,128.629217,35.879722
1360,동구청,1,128.632256,35.884441
1370,아양교,1,128.638,35.8913
1380,동촌,1,128.654,35.8893
1390,해안,1,128.665,35.8887
1400,방촌,1,128.676,35.8848
1410,용계,1,128.687,35.8759
1420,율하,1,128.694,35.8687
1430,신기,1,128.706,35.8703
1440,반야월,1,128.718,35.8724
1450,각산,1,128.729,35.8698
1460,안심,1,128.733652,35.871193
1470,대구한의대병원,1,128.7753,35.8906
1480,부호,1,128.80306,35.90028
1490,하양,1,128.81835,35.909111
2160,문양,2,128.428,35.8617
2170,다사,2,128.461,35.8569
2180,대실,2,128.468,35.855
2190,강창,2,128.487,35.8553
2200,계명대,2,128.498,35.8548
2210,성서산업단지,2,128.509,35.8529
2220,이곡,2,128.514,35.8521
2230,용산,2,128.527,35.8519
2240,죽전,2,128.535,35.8507
2250,감삼,2,128.544,35.8523
2260,두류,2,128.553,35.854
2270,내당,2,128.563,35.8567
2280,반고개,2,128.572,35.8606
2290,청라언덕2,2,128.5833,35.8648
2300,반월당2,2,128.593345,35.864676
2310,경대병원,2,128.604,35.8615
2320,대구은행,2,128.614,35.8596
2330,범어,2,128.625,35.8593
2340,수성구청,2,128.634,35.8591
2350,만촌,2,128.646,35.8576
2360,담티,2,128.659,35.8523
2370,연호,2,128.671347,35.846772
2380,대공원,2,128.683,35.8427
2390,고산,2,128.694,35.8402
2400,신매,2,128.706,35.8406
2410,사월,2,128.718,35.8398
2420,정평,2,128.721417,35.827639
2430,임당,2,128.73625,35.833894
2440,영남대,2,128.753547,35.835903
3120,칠곡경대병원,3,128.55978,35.95894
3130,학정,3,128.563,35.9526
3140,팔거,3,128.564,35.945
3150,동천,3,128.563,35.938
3160,칠곡운암,3,128.562,35.932
3170,구암,3,128.553,35.926
3180,태전,3,128.547,35.919
3190,매천,3,128.544,35.912
3200,매천시장,3,128.545,35.904
3210,팔달,3,128.5468,35.8978
3220,공단,3,128.5414,35.8924
3230,만평,3,128.5611,35.8898
3240,팔달시장,3,128.567,35.887
3250,원대,3,128.572,35.884
3260,북구청,3,128.579,35.881
3270,달성공원,3,128.582,35.875
3280,서문시장,3,128.582,35.869
3290,청라언덕3,3,128.5833,35.8648
3300,남산,3,128.584,35.859
3310,명덕3,3,128.5894,35.8576
3320,건들바위,3,128.597,35.857
3330,대봉교,3,128.607,35.856
3340,수성시장,3,128.615,35.854
3350,수성구민운동장,3,128.625,35.8524
3360,어린이회관,3,128.627,35.845
3370,황금,3,128.626,35.836
3380,수성못,3,128.626,35.827
3390,지산,3,128.636,35.823
3400,범물,3,128.643,35.82
3410,용지,3,128.65,35.818
