년월,정류소명,승차,하차
2016-01-01,(주)성안건너,58,114
2016-01-01,(주)영화건너,0,80
2016-01-01,(주)영화앞,689,0
2016-01-01,1차서한화성타운건너,207,148
2016-01-01,1차서한화성타운앞,491,47
2016-01-01,2.28기념중앙공원건너1,46215,11673
2016-01-01,2.28기념중앙공원건너2,5744,3353
2016-01-01,2.28기념중앙공원앞,111369,12928
2016-01-01,2차대자연맨션건너,1543,648
2016-01-01,2차대자연맨션앞,7231,953
2016-01-01,2차서한화성타운건너,32359,1489
2016-01-01,2차서한화성타운앞,14281,2897
2016-01-01,2호선반월당역1,16020,3457
2016-01-01,2호선반월당역2,11461,3207
2016-01-01,3공단새마을금고앞,3108,1215
2016-01-01,CGV대구한일건너,102054,18225
2016-01-01,CGV대구한일앞,28006,2897
2016-01-01,e-편한세상월배건너,555,103
2016-01-01,e-편한세상월배앞,106,32
2016-01-01,e편한세상대구금호건너,428,6
2016-01-01,e편한세상대구금호앞,3,36
2016-01-01,IHL건너,5,0
2016-01-01,IHL앞,1,0
2016-01-01,K-2입구,1876,448
2016-01-01,K2관사입구(종점),1230,42
2016-01-01,KT남대구지사건너1,8712,3201
2016-01-01,KT남대구지사건너2,1477,694
2016-01-01,KT남대구지사앞1,18877,6481
2016-01-01,KT남대구지사앞2,489,1221
2016-01-01,KT동대구지사건너,21685,11993
2016-01-01,KT동대구지사앞,14674,1794
2016-01-01,KT북대구지사건너,1761,239
2016-01-01,KT북대구지사앞,3601,378
2016-01-01,KT상동지사건너,2203,226
2016-01-01,KT상동지사앞,972,355
2016-01-01,KT서대구지사건너,16806,2811
2016-01-01,KT서대구지사앞,11879,5050
2016-01-01,LG물류센터건너,3016,1862
2016-01-01,LG물류센터앞,5967,2742
2016-01-01,LH5단지아파트건너,2360,149
2016-01-01,LH5단지아파트앞,329,308
2016-01-01,LH5단지후문건너,283,140
2016-01-01,LH5단지후문앞,395,42
2016-01-01,MBC네거리,7629,1570
2016-01-01,NH농협혁신도시지점건너,5,85
2016-01-01,NH농협혁신도시지점앞,1139,42
2016-01-01,SK리더스뷰건너,6620,1287
2016-01-01,SK리더스뷰앞,3938,1370
2016-01-01,STX메탈건너,838,3646
2016-01-01,STX메탈앞,22,522
2016-01-01,TBC건너,8660,567
2016-01-01,TBC앞,2139,1412
2016-01-01,TCN대구방송건너,1476,251
2016-01-01,TCN대구방송앞,2143,361
2016-01-01,㈜윔스건너,119,173
2016-01-01,㈜윔스앞,296,26
2016-01-01,가야농원,109,13
2016-01-01,가창농협건너,1720,1872
2016-01-01,가창농협앞,8712,459
2016-01-01,가창댐,1,0
2016-01-01,가창댐1,19,76
2016-01-01,가창면사무소건너,3546,1387
2016-01-01,가창면사무소앞,6675,908
2016-01-01,가창중학교건너,970,2
2016-01-01,가창중학교앞,43,67
2016-01-01,가창초등학교건너,1979,203
2016-01-01,가창초등학교앞,1119,106
2016-01-01,가천동앞,76,5
2016-01-01,가천리,59,2
2016-01-01,가태리마을회관건너,189,0
2016-01-01,가태리마을회관앞,11,1
2016-01-01,각산역(1번출구),4867,975
2016-01-01,각산역(2번출구),1284,1082
2016-01-01,각산푸르지오건너,2595,1503
2016-01-01,각산푸르지오앞,845,567
2016-01-01,갈실마을회관종점,367,3
2016-01-01,감문1리1,2,0
2016-01-01,감문1리2,265,2
2016-01-01,감문1리3,0,3
2016-01-01,감문1리4,9,0
2016-01-01,감삼네거리1,12268,3323
2016-01-01,감삼네거리2,31149,16429
2016-01-01,감삼초등학교건너,6165,1389
2016-01-01,감삼초등학교앞,5737,878
2016-01-01,갓골건너,310,1
2016-01-01,갓골앞,1,23
2016-01-01,갓바위,15157,156
2016-01-01,강남약국건너,37213,8650
2016-01-01,강남약국앞1,19895,6172
2016-01-01,강남약국앞2,6186,855
2016-01-01,강동중·고등학교,3,78
2016-01-01,강동중·고등학교건너,3313,3
2016-01-01,강변동서마을건너,4191,229
2016-01-01,강변동서마을앞,2370,1207
2016-01-01,강북경찰서건너,941,849
2016-01-01,강북경찰서앞,1787,256
2016-01-01,강북중학교건너,10,602
2016-01-01,강북중학교앞,5637,15
2016-01-01,강산아파트건너,3587,7463
2016-01-01,강산아파트앞,4363,895
2016-01-01,강정(종점),19,0
2016-01-01,강정보(디아크문화관)건너,72,9
2016-01-01,강정보(디아크문화관)입구,160,0
2016-01-01,강창교1,2720,173
2016-01-01,강창교2,102,604
2016-01-01,강창역(1번출구),5087,1030
2016-01-01,강창역(2번출구),18952,775
2016-01-01,강창하이츠,5410,292
2016-01-01,거동교1,717,816
2016-01-01,거동교2,1400,377
2016-01-01,건들바위건너,848,586
2016-01-01,건들바위앞,506,734
2016-01-01,건영아파트건너,10935,5586
2016-01-01,건영캐스빌건너,10214,1629
2016-01-01,건영캐스빌앞,1603,923
2016-01-01,검단119안전센터(엑스코),41,47
2016-01-01,검단동대구축협앞,4197,33
2016-01-01,검단동주민센터1,636,11
2016-01-01,검단동주민센터2,2,125
2016-01-01,검단동주민센터건너,9159,68
2016-01-01,검단동주민센터앞,40,430
2016-01-01,검단상가아파트건너,126,13
2016-01-01,검단상가아파트앞,347,43
2016-01-01,검단유성아파트(서편),7616,1104
2016-01-01,검단유성아파트건너,4518,1192
2016-01-01,검단유성아파트앞,16316,3445
2016-01-01,경기장네거리1,4007,1131
2016-01-01,경기장네거리2,2900,364
2016-01-01,경대교2,4666,516
2016-01-01,경대교건너,761,103
2016-01-01,경대교앞,167,861
2016-01-01,경대사대부설고등학교앞,14079,6422
2016-01-01,경대아파트건너,20183,2182
2016-01-01,경대아파트앞,4918,1986
2016-01-01,경덕여고,1077,689
2016-01-01,경동산업앞,44,0
2016-01-01,경명여고건너,1958,463
2016-01-01,경명여고앞,1939,1217
2016-01-01,경북고교종점,164,122
2016-01-01,경북고등학교건너,8036,2136
2016-01-01,경북고등학교앞,11400,1023
2016-01-01,경북고등학교종점건너,697,182
2016-01-01,경북공고건너,3571,2967
2016-01-01,경북공고앞,4520,3379
2016-01-01,경북공무원교육원1,23,7
2016-01-01,경북공무원교육원2,0,1
2016-01-01,경북교통,5185,8063
2016-01-01,경북교통앞,2810,1580
2016-01-01,경북기계공고건너,6322,3185
2016-01-01,경북기계공고앞,5972,3376
2016-01-01,경북농업기술원건너,22,31
2016-01-01,경북농업기술원앞,16,3
2016-01-01,경북대체육센터건너,7520,658
2016-01-01,경북대체육센터앞,4112,4242
2016-01-01,경북대학교병원건너,13097,7066
2016-01-01,경북대학교병원앞,26711,4485
2016-01-01,경북대학교북문건너,59461,2168
2016-01-01,경북대학교북문앞,27567,5356
2016-01-01,경북대학교서문건너,7158,1233
2016-01-01,경북대학교서문앞,2846,906
2016-01-01,경북대학교정문건너,7342,2828
2016-01-01,경북대학교정문앞,20026,4338
2016-01-01,경북대학교치과병원,14326,7359
2016-01-01,경북아파트건너(고산동),14353,3053
2016-01-01,경북아파트건너(신천동),8012,10266
2016-01-01,경북아파트앞(고산동),11961,4135
2016-01-01,경북아파트앞(신천동),4144,3087
2016-01-01,경북여상건너,8387,8392
2016-01-01,경북여상앞,11644,1917
2016-01-01,경북크랑크,2153,38
2016-01-01,경상감영공원건너,82846,13235
2016-01-01,경상감영공원앞,62132,36569
2016-01-01,경상북도농업인회관,2,4
2016-01-01,경상여자고등학교건너,2841,411
2016-01-01,경상여자고등학교앞,4864,3967
2016-01-01,경서중학교건너,1208,488
2016-01-01,경서중학교앞,10382,128
2016-01-01,경신고등학교건너,38660,6108
2016-01-01,경신고등학교앞,34081,8210
2016-01-01,경운초등학교건너,1301,539
2016-01-01,경운초등학교앞,3378,1071
2016-01-01,경원고등학교건너,720,37
2016-01-01,경원고등학교앞,919,202
2016-01-01,경일여자중학교건너,12664,2225
2016-01-01,경일여자중학교앞,3048,1826
2016-01-01,경주최씨종가(종점),789,140
2016-01-01,경주최씨종가1,3,0
2016-01-01,경주최씨종가2,13,0
2016-01-01,경진테크빌앞,744,1112
2016-01-01,경창산업,1446,167
2016-01-01,경희강재건너,1001,559
2016-01-01,경희강재앞,2921,82
2016-01-01,계명대대명캠퍼스후문건너,1814,700
2016-01-01,계명대역(1번출구),1197,1029
2016-01-01,계명대역(2번출구),4026,2731
2016-01-01,계명대학교대명캠퍼스건너,9082,3162
2016-01-01,계명대학교대명캠퍼스앞,9217,5994
2016-01-01,계명대학교대명캠퍼스후문앞,1825,564
2016-01-01,계명대학교동문건너1,4432,423
2016-01-01,계명대학교동문건너2,19981,5455
2016-01-01,계명대학교동문앞,10475,6707
2016-01-01,계명대학교정문건너,14672,1313
2016-01-01,계명대학교정문앞,3291,2567
2016-01-01,계명문화대학건너,5171,794
2016-01-01,계명문화대학앞,4970,9860
2016-01-01,고모동입구,4213,229
