bizesId,bizesNm,indsLclsNm,indsMclsNm,signguNm,source_adm_cd2,source_adong_nm,polygon_adm_cd2,polygon_adm_nm,lon,lat,boundary_distance_m
MA010120220800086551,푸드하우스,음식,기타 간이,북구,2723055000,침산1동,2723079000,대구광역시 북구 노원동,128.581017395513,35.8904319380575,10.39847645692263
MA010120220800077752,책나무범물점독서학원,교육,일반 교육,수성구,2726066200,범물2동,2726066100,대구광역시 수성구 범물1동,128.64466148665,35.8175761412995,20.053054200288322
MA010120220800079508,헤렌인터내셔널,과학·기술,전문 디자인,중구,2711067000,남산4동,2711065000,대구광역시 중구 남산2동,128.582124996557,35.8642751703396,22.53651335338749
MA010120220800230782,임실N치즈피자,음식,기타 간이,수성구,2726051000,범어1동,2726060200,대구광역시 수성구 황금2동,128.625385563772,35.8494685421091,44.16590571441966
MA010120220800236371,도도네일,수리·개인,이용·미용,중구,2711057500,성내2동,2711065000,대구광역시 중구 남산2동,128.593342554172,35.864424266825,188.59244919554598
MA010120220800232930,짚신매운갈비찜,음식,한식,중구,2711056500,성내1동,2711054500,대구광역시 중구 삼덕동,128.597868289045,35.8681759810538,19.54592982393213
MA010120220800056857,천사홈케어,시설관리·임대,청소·방제,서구,2717062000,평리1동,2717055000,대구광역시 서구 비산1동,128.563800338687,35.8804744549791,2.82081623935077
MA010120220800461273,미가떡집,음식,기타 간이,달서구,2729055500,감삼동,2729056300,대구광역시 달서구 죽전동,128.546235766846,35.8541179669364,36.30401185370287
MA010120220800302685,버블버블,소매,섬유·의복·신발 소매,달서구,2729055000,두류3동,2717054000,대구광역시 서구 내당4동,128.556608440642,35.8575525617758,4.0755196487042324
MA010120220800046611,라린느,과학·기술,전문 디자인,수성구,2726060100,황금1동,2726054000,대구광역시 수성구 범어4동,128.63641015308,35.8505624463339,74.9707084241294
MA010120220800370844,칭구야,음식,주점,남구,2720053000,봉덕1동,2720051500,대구광역시 남구 이천동,128.60396354076,35.8465033393199,35.00089526832271
MA010120220800052099,스토리이즈언더웨어,수리·개인,기타 가정용품 수리,북구,2723075000,관음동,2723077000,대구광역시 북구 읍내동,128.547387386693,35.9445961553314,37.89208439583678
MA010120220800295996,방주공인중개사사무소,부동산,부동산 서비스,동구,2714074700,안심4동,2714072000,대구광역시 동구 안심1동,128.708408856655,35.8700427390608,8.702569743738925
MA010120220800616669,햇빛공방,수리·개인,기타 가정용품 수리,서구,2717062000,평리1동,2717055000,대구광역시 서구 비산1동,128.567407061916,35.880319297651,62.32582943304591
MA010120220800525533,파파존스,음식,기타 간이,북구,2723057000,침산3동,2723052600,대구광역시 북구 칠성동,128.586490569367,35.8861153729917,45.70939079304165
MA010120220800103015,체리타임,소매,의약·화장품 소매,중구,2711056500,성내1동,2711054500,대구광역시 중구 삼덕동,128.59735691014,35.8664165428831,86.17534317677767
MA010120220800052813,에이스통신,소매,가전·통신 소매,서구,2717059000,비산5동,2717061000,대구광역시 서구 비산7동,128.565146743994,35.885872797713,1.3166001151081805
MA010120220800804270,프리지아,소매,섬유·의복·신발 소매,중구,2711057500,성내2동,2711065000,대구광역시 중구 남산2동,128.593342554172,35.864424266825,188.59244919554598
MA010120220800996482,메디바이스의료기,소매,의약·화장품 소매,수성구,2726066200,범물2동,2726066100,대구광역시 수성구 범물1동,128.644386821391,35.8176700142582,8.046701107378912
MA010120220800923773,이마트24신남역점,소매,종합 소매,중구,2711067000,남산4동,2711065000,대구광역시 중구 남산2동,128.582106084742,35.8644376256377,25.16202634997019
MA010120220800803219,제일,음식,기타 간이,남구,2720064000,대명9동,2720060000,대구광역시 남구 대명5동,128.588229210231,35.8472891141662,796.3883395710196
MA010120220801439424,제이엔헤어,수리·개인,이용·미용,남구,2720053000,봉덕1동,2720051500,대구광역시 남구 이천동,128.60396354076,35.8465033393199,35.00089526832271
MA010120220800636403,수성아크릴,과학·기술,인쇄·제품제작,동구,2714067000,방촌동,2714065500,대구광역시 동구 동촌동,128.65764152573,35.8835953113452,21.209888919957976
MA010120220800675523,수성치과의원,보건의료,의원,수성구,2726057000,수성1가동,2726061000,대구광역시 수성구 중동,128.612788193675,35.8488543293079,28.33967910318505
MA010120220800680399,"다겸철학,다겸화장품",소매,의약·화장품 소매,중구,2711057500,성내2동,2711065000,대구광역시 중구 남산2동,128.593342554172,35.864424266825,188.59244919554598
MA010120220801624629,아워홈덴티스본사,음식,구내식당·뷔페,동구,2714073000,안심2동,2714075500,대구광역시 동구 혁신동,128.708230031628,35.8818229986092,48.68149792342788
MA010120220801244268,내차처럼렌터카,시설관리·임대,운송장비 대여,달서구,2729056800,장기동,2729055500,대구광역시 달서구 감삼동,128.532626503501,35.8458034949813,80.71693437166763
MA010120220800825943,대백수산목련점,소매,식료품 소매,수성구,2726065200,지산2동,2726066200,대구광역시 수성구 범물2동,128.637024170457,35.8190411472347,23.091612523881402
MA010120220800636287,에스,수리·개인,이용·미용,남구,2720054000,봉덕2동,2720053000,대구광역시 남구 봉덕1동,128.603614894442,35.8440298443571,32.88998086843818
MA010120220802751912,153파트너스,과학·기술,본사·경영 컨설팅,달성군,2771031000,가창면,2726063000,대구광역시 수성구 파동,128.620467911601,35.8057753631509,95.77237807490512
MA010120220802278212,홈마트,소매,종합 소매,동구,2714062000,불로.봉무동,2714064000,대구광역시 동구 지저동,128.634935487336,35.8962341204653,400.9556813842904
MA010120220802515256,쌈지스포츠,소매,섬유·의복·신발 소매,중구,2711057500,성내2동,2711065000,대구광역시 중구 남산2동,128.593342554172,35.864424266825,188.59244919554598
MA010120220802649863,스쿨푸드두류점,음식,기타 간이,달서구,2729055500,감삼동,2729056300,대구광역시 달서구 죽전동,128.542863638437,35.852611341897,24.030649683883517
MA010120220802273191,스윙잉서울동성로,소매,종합 소매,중구,2711056500,성내1동,2711054500,대구광역시 중구 삼덕동,128.596840149695,35.8665946314528,63.783222972159194
MA010120220802908786,왕자문구,소매,오락용품 소매,동구,2714062000,불로.봉무동,2714064000,대구광역시 동구 지저동,128.635015492211,35.8974315387841,267.9358684906366
MA010120220802917183,대구전자담배프라자,소매,담배 소매,중구,2711057500,성내2동,2711065000,대구광역시 중구 남산2동,128.593342554172,35.864424266825,188.59244919554598
MA010120220802909961,법무사사무소이룸,과학·기술,법무관련 ,달서구,2729056800,장기동,2729057600,대구광역시 달서구 이곡1동,128.515987114992,35.8502500467251,2.0994541834315057
MA010120220802881623,미용실바이쥬,수리·개인,이용·미용,동구,2714065500,동촌동,2714068500,대구광역시 동구 해안동,128.659950321666,35.8843924597427,5.828808840513663
MA010120220801938994,리꼬비101,음식,기타 간이,중구,2711056500,성내1동,2711051700,대구광역시 중구 동인동,128.600989427414,35.8730816877171,3.261259209518322
MA010120220802161334,아이엠와이즈,과학·기술,광고,중구,2711056500,성내1동,2711054500,대구광역시 중구 삼덕동,128.597098950178,35.8656990586793,16.520109813673198
MA010120220802251710,장애인기업제품전시판매장우리몰,소매,종합 소매,달서구,2729057600,이곡1동,2729057700,대구광역시 달서구 이곡2동,128.507248612257,35.8517297595436,2.622397272898714
MA010120220802865703,비노수아브,음식,주점,남구,2720053000,봉덕1동,2720051500,대구광역시 남구 이천동,128.596225774193,35.8497604084871,1.3158560313091654
MA010120220802508872,착한이용소,수리·개인,이용·미용,서구,2717062000,평리1동,2717055000,대구광역시 서구 비산1동,128.566455389996,35.8803497377611,45.49132886535186
MA010120220802504065,이삭토스트대구,음식,기타 간이,달서구,2729065000,본동,2729060200,대구광역시 달서구 월성2동,128.530596040922,35.8340242381627,74.82342538653882
MA010120220802863652,유건이앤디,과학·기술,기술 서비스,달서구,2729055500,감삼동,2729056300,대구광역시 달서구 죽전동,128.547215750228,35.8544207521554,22.986068657005863
MA010120220802837240,아름다운에스테틱,수리·개인,이용·미용,달서구,2729056300,죽전동,2717067500,대구광역시 서구 상중이동,128.543437136716,35.8559292264967,11.662643247973262
MA010120220803024449,행복한용지약국,소매,의약·화장품 소매,수성구,2726066200,범물2동,2726066100,대구광역시 수성구 범물1동,128.644630905764,35.8177027198618,27.122960866466176
MA010120220803046456,깨끗한속내과,보건의료,병원,남구,2720054000,봉덕2동,2720053000,대구광역시 남구 봉덕1동,128.603750756443,35.8441812255198,53.209262387566135
MA010120220802933420,아름인테리어,과학·기술,전문 디자인,동구,2714062000,불로.봉무동,2714064000,대구광역시 동구 지저동,128.632011754496,35.9000136024446,110.69984578331524
MA010120220803079852,루나스팀,수리·개인,자동차 수리·세차,북구,2723074500,구암동,2723073500,대구광역시 북구 태전2동,128.55190892499,35.9236313218376,64.75540832911592
MA010120220802976731,햅,소매,장식품 소매,수성구,2726064000,두산동,2726065200,대구광역시 수성구 지산2동,128.625674060317,35.8245570392863,18.57983451427071
MA010120220802933139,쿠키네일,수리·개인,이용·미용,중구,2711057500,성내2동,2711065000,대구광역시 중구 남산2동,128.593342554172,35.864424266825,188.59244919554598
MA010120220802988976,거상네트웍스,소매,종합 소매,달서구,2729055500,감삼동,2729056300,대구광역시 달서구 죽전동,128.547215750228,35.8544207521554,22.986068657005863
MA010120220802999020,미엔느나인,소매,섬유·의복·신발 소매,중구,2711056500,성내1동,2711054500,대구광역시 중구 삼덕동,128.595905872878,35.8669314604927,24.377400830734484
MA010120220803030034,운동화빨래방,수리·개인,세탁,북구,2723075000,관음동,2723077000,대구광역시 북구 읍내동,128.547143632822,35.9451670157295,29.162288740977697
MA010120220803061863,수아,수리·개인,기타 가정용품 수리,중구,2711057500,성내2동,2711065000,대구광역시 중구 남산2동,128.593342554172,35.864424266825,188.59244919554598
MA010120220803014141,성보마트,소매,종합 소매,동구,2714051000,신암1동,2714054000,대구광역시 동구 신암4동,128.620877626443,35.8900807221116,11.674073313173402
MA010120220803026886,야시보세,소매,섬유·의복·신발 소매,남구,2720059000,대명4동,2720065000,대구광역시 남구 대명10동,128.561103788705,35.8417961845021,23.40078879924261
MA010120220803095305,현풍닭칼국수,음식,한식,중구,2711056500,성내1동,2711054500,대구광역시 중구 삼덕동,128.596964508505,35.8656197433643,1.5827341758120497
MA010120220803069490,달아요,음식,비알코올 ,동구,2714051000,신암1동,2723063000,대구광역시 북구 산격3동,128.616493041167,35.8879410532375,5.017423266964023
MA010120220803018327,강산숯불촌,음식,한식,동구,2714065500,동촌동,2714064000,대구광역시 동구 지저동,128.643724659512,35.8938793091408,72.36064708873869
MA010120220803011007,베이지무드,소매,섬유·의복·신발 소매,중구,2711056500,성내1동,2711054500,대구광역시 중구 삼덕동,128.59637619688,35.8666458559123,35.7993647891728
MA010120220803039814,대구서구시니어클럽행복한일터,시설관리·임대,고용 알선,서구,2717055000,비산1동,2717064000,대구광역시 서구 평리3동,128.560357175304,35.8805012185684,39.10629811436851
MA010120220802948943,타임,소매,섬유·의복·신발 소매,중구,2711056500,성내1동,2711054500,대구광역시 중구 삼덕동,128.598224824435,35.8682883858516,7.200812396168582
MA010120220802937529,오땡큐염색방,수리·개인,이용·미용,중구,2711057500,성내2동,2711065000,대구광역시 중구 남산2동,128.593342554172,35.864424266825,188.59244919554598
MA010120220803053819,바우떡볶이,음식,기타 간이,달서구,2729055500,감삼동,2729056300,대구광역시 달서구 죽전동,128.545901671321,35.8540141285612,40.78507140231305
MA010120220803001193,더쿡,음식,서양식,수성구,2726051000,범어1동,2726060200,대구광역시 수성구 황금2동,128.625385563772,35.8494685421091,44.16590571441966
MA010120220803221711,네일디보티,수리·개인,이용·미용,북구,2723057000,침산3동,2723052600,대구광역시 북구 칠성동,128.586490569367,35.8861153729917,45.70939079304165
MA010120220803231339,반월당약국,소매,의약·화장품 소매,중구,2711057500,성내2동,2711065000,대구광역시 중구 남산2동,128.593342554172,35.864424266825,188.59244919554598
MA010120220803140414,이데알레스토어,소매,섬유·의복·신발 소매,중구,2711056500,성내1동,2711054500,대구광역시 중구 삼덕동,128.596685739845,35.8666237185088,55.34283051466858
MA010120220803164687,맨션드방콕,음식,동남아시아,중구,2711056500,성내1동,2711054500,대구광역시 중구 삼덕동,128.597074102441,35.8655642175822,5.044002627301487
MA010120220803182021,대동강,음식,한식,남구,2720054000,봉덕2동,2720053000,대구광역시 남구 봉덕1동,128.603910560729,35.8438727027721,27.742764222975875
